,Usia,Gender,Gaji,Jumlah Anak
0,21,P,1-3jt,2
1,39,L,3-5jt,5
2,24,L,5-10jt,1
3,29,P,5-10jt,2
4,34,P,1-3jt,4
5,20,L,1-3jt,4
6,19,L,3-5jt,2
7,52,L,1-3jt,0
8,26,L,5-10jt,0
9,55,P,1-3jt,5
10,39,L,5-10jt,0
11,45,L,5-10jt,4
12,49,L,3-5jt,2
13,47,L,1-3jt,2
14,30,L,1-3jt,6
15,57,L,1-3jt,0
16,56,P,1-3jt,4
17,44,P,3-5jt,0
18,56,P,1-3jt,6
19,24,L,5-10jt,0
20,22,P,1-3jt,2
21,40,P,1-3jt,1
22,24,P,5-10jt,0
23,49,P,1-3jt,5
24,29,P,5-10jt,0
25,19,L,5-10jt,4
26,59,P,1-3jt,6
27,58,P,3-5jt,3
28,17,L,1-3jt,4
29,22,P,1-3jt,3
30,58,L,1-3jt,5
31,57,P,3-5jt,1
32,40,P,1-3jt,1
33,45,L,1-3jt,1
34,31,L,3-5jt,4
35,22,L,3-5jt,3
36,59,P,3-5jt,1
37,37,L,3-5jt,4
38,23,L,1-3jt,1
39,34,P,1-3jt,0
40,21,P,3-5jt,1
41,20,P,1-3jt,5
42,45,P,5-10jt,2
43,24,L,1-3jt,4
44,23,P,5-10jt,4
45,49,L,5-10jt,2
46,25,P,3-5jt,0
47,19,L,5-10jt,1
48,19,P,5-10jt,6
49,57,P,1-3jt,4
50,41,P,5-10jt,5
51,33,L,3-5jt,5
52,56,P,5-10jt,1
53,50,P,5-10jt,1
54,38,P,5-10jt,0
55,36,L,3-5jt,0
56,48,P,1-3jt,5
57,41,L,5-10jt,2
58,56,L,3-5jt,4
59,45,L,3-5jt,4
60,35,P,1-3jt,0
61,25,L,5-10jt,4
62,42,P,5-10jt,2
63,35,P,1-3jt,6
64,45,P,1-3jt,3
65,48,P,3-5jt,0
66,36,P,1-3jt,2
67,22,L,3-5jt,5
68,44,L,1-3jt,6
69,54,P,3-5jt,4
70,20,P,5-10jt,5
71,33,P,5-10jt,3
72,46,P,3-5jt,0
73,21,P,5-10jt,0
74,34,L,5-10jt,2
75,21,P,3-5jt,4
76,42,L,1-3jt,0
77,48,P,5-10jt,0
78,51,L,5-10jt,1
79,41,L,1-3jt,2
80,28,P,5-10jt,1
81,46,P,5-10jt,5
82,17,L,1-3jt,2
83,47,L,3-5jt,5
84,17,P,1-3jt,6
85,35,P,1-3jt,4
86,29,L,5-10jt,0
87,21,P,1-3jt,3
88,58,L,3-5jt,6
89,40,L,1-3jt,4
90,19,L,3-5jt,0
91,54,P,1-3jt,1
92,42,L,3-5jt,4
93,24,L,5-10jt,1
94,50,L,5-10jt,4
95,38,L,3-5jt,1
96,23,P,3-5jt,5
97,25,P,3-5jt,0
98,53,P,1-3jt,6
99,49,P,3-5jt,3
100,24,P,5-10jt,0
101,31,L,5-10jt,3
102,38,L,1-3jt,1
103,18,L,1-3jt,3
104,37,L,3-5jt,5
105,57,L,3-5jt,3
106,55,L,3-5jt,2
107,21,P,3-5jt,6
108,55,L,3-5jt,5
109,28,L,3-5jt,5
110,45,L,5-10jt,2
111,52,P,5-10jt,6
112,58,P,3-5jt,5
113,43,L,3-5jt,0
114,20,L,5-10jt,0
115,60,P,5-10jt,6
116,44,L,5-10jt,1
117,38,P,3-5jt,0
118,50,L,3-5jt,5
119,51,L,3-5jt,3
120,27,P,5-10jt,2
121,50,P,3-5jt,4
122,45,L,3-5jt,3
123,32,P,3-5jt,1
124,38,L,5-10jt,5
125,51,L,3-5jt,2
126,49,L,5-10jt,6
127,41,L,5-10jt,2
128,55,P,5-10jt,1
129,27,P,5-10jt,6
130,23,L,1-3jt,3
131,60,P,3-5jt,2
132,34,P,5-10jt,1
133,57,P,3-5jt,0
134,28,L,5-10jt,4
135,51,P,5-10jt,6
136,40,L,5-10jt,4
137,36,P,1-3jt,4
138,18,P,5-10jt,5
139,46,P,1-3jt,4
140,44,P,1-3jt,6
141,44,P,1-3jt,0
142,56,L,3-5jt,2
143,44,P,1-3jt,2
144,44,P,5-10jt,2
145,56,P,1-3jt,4
146,28,P,5-10jt,0
147,36,L,3-5jt,3
148,33,L,1-3jt,5
149,60,L,5-10jt,0
150,20,P,3-5jt,1
151,48,P,5-10jt,2
