,Usia,Gender,Gaji,Jumlah Anak
0,44,L,5-10jt,1
1,36,P,1-3jt,0
2,52,L,1-3jt,2
3,51,P,5-10jt,1
4,29,P,3-5jt,4
5,54,L,5-10jt,5
6,50,P,1-3jt,6
7,24,P,1-3jt,6
8,29,L,5-10jt,5
9,17,L,3-5jt,5
10,57,P,5-10jt,0
11,21,L,1-3jt,2
12,50,L,5-10jt,4
13,40,L,3-5jt,6
14,32,L,5-10jt,1
15,42,P,3-5jt,2
16,57,L,1-3jt,2
17,57,P,5-10jt,5
18,38,P,5-10jt,5
19,28,P,3-5jt,0
20,24,P,3-5jt,3
21,53,P,3-5jt,6
22,30,P,1-3jt,5
23,31,L,3-5jt,1
24,19,P,5-10jt,1
25,51,P,1-3jt,2
26,54,P,1-3jt,3
27,40,L,3-5jt,2
28,57,P,3-5jt,2
29,47,P,3-5jt,6
30,23,P,1-3jt,5
31,26,L,5-10jt,4
32,18,L,1-3jt,0
33,39,P,5-10jt,1
34,39,P,5-10jt,5
35,60,P,5-10jt,5
36,26,P,3-5jt,0
37,57,L,3-5jt,5
38,57,L,3-5jt,6
39,53,P,1-3jt,4
40,59,L,1-3jt,5
41,21,L,3-5jt,6
42,55,L,5-10jt,4
43,23,P,1-3jt,5
44,27,P,3-5jt,1
45,30,P,1-3jt,5
46,44,P,5-10jt,5
47,34,L,3-5jt,4
48,50,P,3-5jt,4
49,57,P,5-10jt,0
50,25,L,3-5jt,5
51,27,P,5-10jt,3
52,48,P,1-3jt,1
53,28,P,1-3jt,1
54,18,L,1-3jt,6
55,35,P,5-10jt,6
56,17,P,5-10jt,1
57,39,P,5-10jt,5
58,58,L,5-10jt,1
59,27,P,3-5jt,3
60,50,P,5-10jt,3
61,38,L,3-5jt,3
62,43,P,3-5jt,6
63,43,L,1-3jt,3
64,30,L,1-3jt,1
65,28,L,1-3jt,0
66,38,L,1-3jt,0
67,33,L,1-3jt,3
68,40,L,3-5jt,4
69,32,L,3-5jt,3
70,17,L,5-10jt,0
71,34,L,5-10jt,3
72,31,P,1-3jt,0
73,59,P,5-10jt,0
74,27,L,3-5jt,5
75,23,P,1-3jt,6
76,22,P,3-5jt,4
77,57,P,5-10jt,6
78,51,L,3-5jt,4
79,34,P,1-3jt,3
80,37,P,1-3jt,3
81,31,P,1-3jt,0
82,44,L,1-3jt,3
83,47,L,3-5jt,3
84,22,P,5-10jt,5
85,18,L,5-10jt,5
86,49,L,1-3jt,5
87,59,P,5-10jt,6
88,19,L,5-10jt,5
89,18,P,5-10jt,2
90,57,L,5-10jt,4
91,17,P,3-5jt,2
92,19,L,3-5jt,0
93,53,L,3-5jt,3
94,41,P,1-3jt,3
95,34,L,3-5jt,5
96,30,P,1-3jt,5
97,58,L,5-10jt,0
98,44,P,1-3jt,6
99,59,P,5-10jt,5
100,53,P,3-5jt,6
101,55,P,5-10jt,4
102,21,L,3-5jt,2
103,52,P,3-5jt,0
104,19,P,3-5jt,4
105,46,P,5-10jt,0
106,55,L,3-5jt,5
107,41,L,3-5jt,6
108,38,P,5-10jt,1
109,31,P,1-3jt,6
110,44,P,1-3jt,1
111,41,L,3-5jt,6
112,28,L,1-3jt,0
113,38,L,5-10jt,0
114,52,P,1-3jt,0
115,43,L,3-5jt,3
116,30,L,1-3jt,5
117,58,L,3-5jt,5
118,49,L,1-3jt,2
119,28,P,5-10jt,5
120,22,P,3-5jt,0
121,19,P,1-3jt,6
122,46,P,5-10jt,0
123,54,P,1-3jt,0
124,58,P,3-5jt,0
125,41,P,3-5jt,0
126,17,L,1-3jt,2
127,18,L,1-3jt,0
128,28,P,3-5jt,3
129,23,L,1-3jt,0
130,56,P,1-3jt,1
131,22,L,5-10jt,6
132,46,P,1-3jt,5
133,55,L,5-10jt,5
134,59,L,3-5jt,6
135,46,P,1-3jt,4
136,20,L,1-3jt,3
137,41,P,3-5jt,0
138,49,P,5-10jt,6
139,56,L,3-5jt,5
140,46,P,3-5jt,1
141,24,P,1-3jt,4
142,18,L,3-5jt,0
143,47,L,5-10jt,6
144,37,P,5-10jt,0
145,37,P,1-3jt,4
146,38,L,3-5jt,6
147,34,P,5-10jt,4
148,22,P,5-10jt,1
149,49,L,1-3jt,0
150,20,L,1-3jt,6
151,42,L,3-5jt,3
152,58,P,3-5jt,3
153,52,P,5-10jt,0
154,26,L,5-10jt,1
